timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617384981754,15,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384981769,11,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384981781,11,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384981792,11,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384981803,11,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384983542,43,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,43,0,20
1617384983586,16,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384983602,10,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384983613,9,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,9,0,0
1617384983623,11,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384983634,11,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384983645,11,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384983657,15,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384983673,16,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384983689,12,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
